umur,lama_berlangganan,tagihan_bulanan,jumlah_keluhan,jumlah_login,paket_premium,churn
56,24,1221151,2,244,0,0
69,65,210380,1,39,0,0
46,18,386243,9,156,0,1
32,44,562422,13,167,1,1
60,57,1257447,4,157,0,0
25,28,874079,10,129,1,1
38,71,1425749,0,81,0,0
56,23,115793,11,155,0,1
36,34,1458826,2,174,1,0
40,11,447806,0,287,0,0
28,35,315836,9,87,0,1
28,42,577347,14,101,0,1
41,28,493576,13,247,1,1
53,24,757992,7,205,0,1
57,8,180882,14,88,0,1
41,53,1000290,11,287,1,1
20,4,249080,3,95,0,1
39,5,701944,2,158,0,1
19,49,523499,7,113,0,1
41,30,763178,12,23,0,1
61,63,1179155,8,162,0,1
47,47,296092,7,285,0,1
55,26,737492,5,54,0,1
19,57,1426985,13,63,0,1
38,37,497534,14,32,0,1
50,7,1007043,2,45,0,0
29,40,528297,7,218,1,1
39,39,1338297,12,288,0,1
61,62,610332,4,195,0,0
42,53,606568,4,252,1,0
66,4,309742,11,285,1,1
44,25,998118,8,235,0,1
59,7,176377,0,78,1,0
45,28,453815,6,91,0,1
33,69,243499,7,95,1,1
32,67,1379315,10,227,1,1
64,20,726551,9,285,0,1
68,11,1084789,2,234,1,1
61,67,745647,7,101,1,1
69,7,435314,0,251,0,0
20,23,962582,7,139,1,1
54,61,1435586,6,142,0,1
68,71,896714,3,239,1,1
24,34,251391,10,265,1,1
38,19,1054230,6,60,0,1
26,58,748423,9,22,0,1
56,9,220019,13,10,1,1
35,48,1363225,10,15,0,1
21,41,1472642,6,48,0,1
42,48,1416905,12,169,0,1
31,45,448492,9,118,0,1
67,25,191368,12,41,1,1
26,25,287461,11,9,0,1
43,19,882190,0,48,1,0
19,39,1428143,2,264,1,0
37,27,1199844,6,206,0,1
45,63,1261268,10,166,0,1
64,68,457345,12,1,0,1
24,19,568741,4,67,0,1
61,28,218222,8,209,0,1
25,33,975022,6,138,1,1
64,10,523693,2,36,0,1
52,30,1271518,14,217,1,1
31,22,643864,0,277,0,0
34,3,481785,4,179,0,0
53,48,555919,13,4,0,1
67,2,781066,14,129,0,1
57,54,310926,12,132,1,1
21,6,317267,9,98,1,1
19,40,541652,12,159,1,1
23,2,248044,4,235,1,0
59,2,245120,6,146,0,0
21,55,1247484,13,114,0,1
46,60,470868,0,3,0,0
35,6,337741,9,86,0,1
43,19,1228801,1,45,0,1
61,27,1492993,10,82,0,1
51,1,1274746,5,153,1,1
27,33,580570,7,281,0,1
53,40,985169,3,287,0,0
31,32,982969,2,110,0,0
48,69,681890,2,116,0,0
65,17,127182,2,96,0,0
32,8,1094877,1,281,0,0
25,57,1457779,0,188,1,0
31,42,502003,14,87,0,1
40,9,886825,4,86,1,0
57,35,243128,9,25,0,1
38,71,554699,4,30,0,0
33,53,1126200,4,125,1,0
62,54,521645,3,197,0,0
35,25,415050,14,30,0,1
64,67,1115261,2,231,0,0
41,62,1497010,11,44,1,1
43,55,930821,2,188,0,0
42,46,383049,1,51,0,0
62,24,681845,4,51,0,1
58,46,861994,3,78,1,1
46,22,857624,5,48,0,1
32,11,297271,1,229,0,0
62,48,802661,1,43,0,0
18,8,709040,7,291,0,1
42,39,891006,5,246,1,0
24,35,1499011,2,218,0,0
26,49,882262,4,21,1,1
41,46,1074280,2,129,0,0
18,38,1105716,10,6,0,1
61,8,580313,1,271,0,0
25,54,386881,2,43,1,0
41,37,1240188,0,239,0,0
28,40,171082,13,64,0,1
68,34,514496,6,245,0,0
34,17,1378137,5,72,0,1
25,33,1431757,4,70,1,1
52,47,219229,5,196,0,1
52,52,330205,7,188,0,1
50,9,196342,2,157,0,0
22,33,867224,2,24,1,0
59,60,652375,11,70,0,1
56,21,1258420,4,222,0,1
58,58,1129696,4,159,1,1
45,69,428905,13,74,0,1
24,10,752862,10,137,1,1
26,6,1090387,0,40,0,0
25,13,1331533,3,15,0,1
29,65,1365988,8,188,0,1
51,20,136764,7,27,1,1
50,57,293198,2,162,1,0
65,46,1387642,4,54,0,1
40,8,1346872,4,273,0,1
41,10,409199,6,101,0,1
54,67,1462319,7,41,0,1
52,11,1357688,8,262,0,1
61,12,926152,6,170,1,0
57,10,193120,14,207,1,1
39,25,1324132,1,48,1,0
44,49,227976,7,59,0,1
52,49,1000499,7,5,1,1
18,11,637507,10,147,1,1
52,62,470652,12,286,0,1
54,36,411009,13,210,1,1
64,39,1203033,1,149,0,0
31,53,1238735,12,84,0,1
20,56,1054321,5,159,0,1
18,1,1348641,12,46,0,1
22,56,193391,9,161,0,1
43,4,1069884,0,154,1,0
31,30,412544,10,229,0,1
56,12,398402,6,299,0,1
44,35,836366,9,157,0,1
26,52,1328605,1,160,0,0
32,31,997898,14,246,0,1
32,68,773641,4,55,0,1
43,52,1325328,13,150,1,1
59,7,765522,6,298,0,1
30,22,1374456,9,53,0,1
68,56,1118528,10,222,1,1
49,58,471021,14,253,0,1
56,64,1422058,14,67,0,1
66,12,843192,8,52,1,1
69,7,1160251,13,244,1,1
49,55,189606,0,39,0,0
21,62,382224,8,137,0,1
47,55,343747,10,265,0,1
54,36,348585,4,137,0,0
40,24,1424656,5,291,0,1
56,44,1158595,13,209,0,1
62,17,560498,7,171,1,1
32,2,450448,14,184,0,1
60,13,829221,10,298,1,1
46,31,1153062,13,239,0,1
53,28,444165,1,210,0,0
30,60,835224,11,150,0,1
49,27,774472,6,123,1,1
24,15,675985,11,48,1,1
68,33,1204574,3,123,0,1
39,20,209537,8,67,0,1
45,42,984248,5,230,0,0
19,12,1175152,6,8,0,1
59,23,1329748,10,265,0,1
62,14,1229814,5,124,0,1
23,25,1363621,10,111,0,1
45,31,1274461,7,53,0,1
45,54,1239429,5,88,0,1
61,5,1102383,6,94,0,1
61,13,1439864,7,249,0,1
37,28,1011575,14,165,1,1
47,43,1487868,0,226,0,0
28,47,1471318,14,135,1,1
45,71,775609,9,64,0,1
42,38,566981,11,4,0,1
56,67,191810,3,119,1,1
50,62,989302,5,218,0,0
18,39,1220707,0,42,0,0
44,37,1318025,3,187,0,0
69,8,545581,5,25,1,1
30,52,1445271,6,266,1,1
58,33,929358,12,161,1,1
20,42,190214,5,232,1,0
56,27,449894,10,129,0,1
23,8,1187175,3,20,0,1
25,23,329417,11,127,1,1
44,64,733778,12,75,1,1
26,20,646881,6,72,0,1
54,16,734153,9,232,1,1
50,17,1077397,13,105,0,1
68,19,797996,1,8,0,0
59,8,562441,5,118,0,1
61,38,1057867,4,49,0,1
41,38,1335607,1,9,1,0
32,53,841277,8,112,1,1
49,31,329701,12,265,0,1
49,44,1106629,6,77,1,1
41,60,232192,13,35,0,1
58,17,1033995,2,201,0,0
69,39,1192214,14,117,0,1
66,42,1318710,6,189,1,1
66,48,1106648,10,241,0,1
69,12,1163789,10,292,0,1
29,18,441910,5,168,0,1
56,6,765400,6,229,0,1
19,43,821662,3,47,0,0
20,35,867360,12,149,0,1
66,54,872354,12,207,0,1
54,62,314480,9,60,0,1
66,69,832654,12,116,0,1
34,16,511973,7,238,1,1
66,8,611213,7,47,0,1
19,31,614738,6,244,0,0
19,10,1293960,12,292,1,1
45,56,515335,6,4,0,1
40,70,1291452,9,99,1,1
54,20,438663,12,204,0,1
49,5,785359,12,179,0,1
50,23,1057262,7,16,1,1
18,9,980756,0,89,0,0
36,58,562735,5,107,0,0
19,59,363648,1,189,0,0
61,54,1138985,0,179,0,0
43,46,430130,11,248,1,1
49,22,569988,9,250,0,1
23,64,1003153,6,19,1,1
49,8,175427,5,96,0,0
21,20,1449507,4,221,0,0
28,51,113898,14,143,0,1
34,39,1027976,4,6,1,1
55,37,1229376,8,267,0,1
41,50,471167,8,295,1,1
22,34,1050136,11,0,0,1
69,33,1275294,11,57,1,1
51,31,658031,5,263,0,1
23,54,867877,12,89,0,1
39,44,1323034,14,74,0,1
28,34,230864,2,260,1,0
65,71,1300971,6,281,0,1
33,62,1320967,3,242,0,1
50,23,330804,4,118,1,1
26,46,888512,6,46,0,1
23,56,1293424,14,167,0,1
33,7,1345879,11,26,0,1
46,61,1333460,6,295,0,1
20,3,1226161,14,0,0,1
37,38,1272723,9,173,0,1
53,34,1164204,7,166,0,1
36,44,487994,0,17,0,0
43,30,1408093,4,90,0,1
20,17,239337,14,201,0,1
36,59,898892,11,20,0,1
37,10,359970,8,155,0,1
49,18,888634,14,13,0,1
24,45,1262422,6,19,1,1
69,59,975842,10,243,1,1
58,62,344000,11,172,1,1
50,59,373994,12,121,0,1
57,49,758166,1,183,0,0
56,63,1024667,0,67,0,0
35,32,456512,7,292,1,1
57,10,886617,8,158,1,1
18,11,1173294,9,48,0,1
28,70,1278869,4,180,0,0
45,62,771366,13,294,1,1
42,47,849440,10,140,0,1
67,34,526185,5,17,1,1
40,17,701108,14,139,0,1
48,54,990446,1,71,0,1
47,40,1147197,10,241,0,1
59,19,1135357,4,260,0,0
52,67,520871,11,262,0,1
24,53,181234,3,142,0,0
33,64,593622,7,194,0,1
43,47,371246,7,145,0,1
65,6,953539,13,293,1,1
69,16,334501,4,25,0,1
66,18,1039057,10,58,0,1
19,52,1232655,7,51,0,1
18,48,718725,5,148,0,0
65,43,297937,9,106,1,1
29,39,480445,5,58,0,1
22,49,256454,12,257,0,1
54,12,138795,14,280,0,1
49,10,1200001,12,18,0,1
26,71,681690,3,165,0,0
58,55,555755,9,24,0,1
52,1,465271,11,3,0,1
36,49,1040963,10,2,1,1
65,36,1352143,2,26,1,1
33,21,719405,8,218,0,1
20,37,1410288,4,43,1,0
37,24,564962,9,211,0,1
